baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1613.788921,-0.03093436,0.163042728,-0.189731614,0.849519446,0.999997623
403.3274384,-0.203616272,0.168857481,-1.205846909,0.227876525,0.999997623
16.15645291,-0.252156496,0.51658505,-0.488121937,0.625463473,0.999997623
2866.651417,-0.063503076,0.206905057,-0.306918919,0.758905089,0.999997623
298.2683458,-0.006989618,0.155699504,-0.044891718,0.964193618,0.999997623
591.596167,-0.21990104,0.245250649,-0.896637951,0.36991214,0.999997623
1629.802151,-0.077489512,0.137353807,-0.564159914,0.572645306,0.999997623
2.973913874,0.458567292,0.748496002,0.612651625,0.540106715,0.999997623
28.46834128,-0.246102236,0.231151557,-1.064679122,0.287021161,0.999997623
313.2594034,-0.158696368,0.167816674,-0.945653158,0.344325521,0.999997623
1.433047033,-2.737067667,2.912395278,-0.939799514,0.347320408,0.999997623
16.85804336,-0.481443513,0.677486186,-0.710632221,0.477312171,0.999997623
0.784193278,-0.409649327,2.195920778,-0.186550139,0.852013363,0.999997623
31.6779125,-0.099944576,0.424571876,-0.235400839,0.813897635,0.999997623
6.583310853,-0.466047797,1.102880451,-0.422573268,0.672606634,0.999997623
4842.380616,-0.076979988,0.175088913,-0.439662265,0.660181736,0.999997623
134.3743393,-0.182345964,0.344343948,-0.529546011,0.596426736,0.999997623
2.024856411,-0.000461458,1.891120615,-0.000244013,0.999805306,0.999997623
